E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb b avg 56
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb b median 21
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb b min 1
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb b max 189
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb g avg 67
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb g median 32
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb g min 3
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb g max 203
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb r avg 91
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb r median 91
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb r min 6
E:\google_drive\personal_project\images-art\Jab van Eyck;Portrait of Margaret van Eyck;1439.jpg stat rgb r max 213
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg image size 657 899 crop 0 657 0 899 resampled 100 137
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv h avg 1 0.00
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv h median 120
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv h min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv h max 360
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv s avg 38
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv s median 33
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv s min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv s max 98
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv v avg 25
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv v median 22
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv v min 5
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat hsv v max 85
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab a avg 3
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab a median 4
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab a min -26
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab a max 38
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab b avg 5
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab b median 4
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab b min -33
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab b max 40
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab l avg 21
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab l median 18
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab l min 2
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lab l max 86
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch c avg 14
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch c median 10
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch c min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch c max 47
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch h avg 27 0.00
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch h median 122
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch h min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch h max 360
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch l avg 21
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch l median 18
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch l min 2
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat lch l max 86
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv l avg 21
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv l median 18
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv l min 2
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv l max 86
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv u avg 5
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv u median 3
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv u min -21
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv u max 68
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv v avg 5
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv v median 3
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv v min -50
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat luv v max 42
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb b avg 43
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb b median 39
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb b min 1
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb b max 209
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb g avg 50
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb g median 40
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb g min 6
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb g max 216
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb r avg 58
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb r median 48
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb r min 5
E:\google_drive\personal_project\images-art\Jan van Eyck;Arnolfini Portrait;1434.jpg stat rgb r max 218
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg image size 656 900 crop 0 656 0 900 resampled 100 137
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv h avg 2 1.00
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv h median 17
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv h min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv h max 360
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv s avg 46
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv s median 45
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv s min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv s max 79
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv v avg 33
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv v median 29
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv v min 2
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat hsv v max 85
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab a avg 16
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab a median 10
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab a min -6
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab a max 46
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab b avg 10
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab b median 8
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab b min -15
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab b max 31
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab l avg 23
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab l median 22
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab l min 1
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lab l max 84
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch c avg 19
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch c median 13
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch c min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch c max 55
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch h avg 28 1.00
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch h median 34
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch h min 0
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch h max 360
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch l avg 23
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch l median 22
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch l min 1
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat lch l max 84
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat luv l avg 23
E:\google_drive\personal_project\images-art\Jan van Eyck;Ince Hall Madonna;1433.jpg stat luv l median 22
